Year,Month,Journal,Journal Impact factor,Title,Commodity,Deposit type,Methodology,Title,Author,Public availability original dataset,Training/Application dataset type,Training vs Application dataset relationship,Training to application scope,url,_key
2023,May,International Journal of Mining and Geo-Engineering,Unknown,"A Hybrid Fuzzy Ordered Weighted Averaging Method in Mineral Prospectivity Mapping: A case for Porphyry Cu Exploration in Chahargonbad District, Iran",Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > tree-based > random forest; supervised > tree-based > gradient boosting (GBDT),"A Hybrid Fuzzy Ordered Weighted Averaging Method in Mineral Prospectivity Mapping: A case for Porphyry Cu Exploration in Chahargonbad District, Iran","Shokouh Riahi, Maysam Abedi, Abbas Bahroudi",Available on reasonable request,"Geological data; Unknown; Geochemical data (Cu, Mo, Zn, Pb, Ag, Co, Ni, Cr, Ba); ppm; Geophysical data; Unknown; Remote sensing data; Unknown",Different,Region A to Region B,https://doi.org/10.22059/ijmge.2023.357315.595050,international journal of mining and geo-engineering | shokouh riahi maysam abedi abbas bahroudi | a hybrid fuzzy ordered weighted averaging method in mineral prospectivity mapping a case for porphyry cu exploration in chahargonbad district iran
2024,September,Journal of Geophysical Research: Machine Learning and Computation,Unknown,Deep Forest Modeling: An Interpretable Deep Learning Method for Mineral Prospectivity Mapping,Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > tree-based > deep forest,Deep Forest Modeling: An Interpretable Deep Learning Method for Mineral Prospectivity Mapping,"Yue‐Lin Dong, Zhen‐Jie Zhang",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1029/2024JH000311,journal of geophysical research machine learning and computation | yuelin dong zhenjie zhang | deep forest modeling an interpretable deep learning method for mineral prospectivity mapping
2022,December,Geocarto International,Unknown,"Mineral prospectivity mapping: a potential technique for sustainable mineral exploration and mining activities – a case study using the copper deposits of the Tagmout basin, Morocco",Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > tree-based > random forest; supervised > tree-based > gradient boosting (GBDT); supervised > kernel-based > support vector machine; knowledge-driven > multicriteria decision analysis > AHP,"Mineral prospectivity mapping: a potential technique for sustainable mineral exploration and mining activities – a case study using the copper deposits of the Tagmout basin, Morocco",Fatima Zahra Echogdali; Said Boutaleb; El Hassan Abia; Mohammed Ouchchen; Bouchra Dadi; Mouna Id-Belqas; Mohamed Abioui; Luan Thanh Pham; Tamer Abu-Alam; Kevin L. Mickus,Unknown,Stream sediment geochemical data; ppm; Fault density data; Unknown; Aeromagnetic data; nT,Different,Region A to Region B,https://doi.org/10.1080/10106049.2021.2017006,geocarto international | fatima zahra echogdali said boutaleb el hassan abia mohammed ouchchen bouchra dadi mouna id-belqas mohamed abioui luan thanh pham tamer abu-alam kevin l mickus | mineral prospectivity mapping a potential technique for sustainable mineral exploration and mining activities  a case study using the copper deposits of the tagmout basin morocco
2025,June,International Journal of Digital Earth,Unknown,"Mineral prospectivity mapping using geological map semantic knowledge graph embedding: a case study of gold prospecting in Ankang, Shaanxi Province, China",Unknown,Orogenic (lode) gold,supervised > deep learning > convolutional neural network (CNN); supervised > deep learning > transformer; supervised > deep learning > conformer,"Mineral prospectivity mapping using geological map semantic knowledge graph embedding: a case study of gold prospecting in Ankang, Shaanxi Province, China","Qun Yan, Linfu Xue, Yongsheng Li, Rui Wang, Ke Ding, Zhenglin Xu",Unknown,"Geochemical data; mg/kg (14 elements including Au, Ag, As, Bi, Cd, Co, Cr, Hg, Mo, Pb, Zn, W, Sn, Ni); Geological map data; Unknown",Different,Region A (Ankang) to Region B (predicted areas),https://doi.org/10.1080/17538947.2025.2517827,international journal of digital earth | qun yan linfu xue yongsheng li rui wang ke ding zhenglin xu | mineral prospectivity mapping using geological map semantic knowledge graph embedding a case study of gold prospecting in ankang shaanxi province china
2022,October,IEEE Access,Unknown,Multi-Class Prediction of Mineral Resources Based on Deep Learning,Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > deep learning > convolutional neural network (CNN); supervised > deep learning > transformer,Multi-Class Prediction of Mineral Resources Based on Deep Learning,LIANG DING; YUELONG ZHU; PENGCHENG ZHANG; HAI DONG; HAO CHEN,Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1109/ACCESS.2022.3215957,ieee access | liang ding yuelong zhu pengcheng zhang hai dong hao chen | multi-class prediction of mineral resources based on deep learning
2025,Unknown,Proceedings of the Nigerian Society of Physical Sciences,Unknown,"Multisource data fusion for enhanced gold mineral prospectivity mapping in Yagba West, Kogi State: a machine learning approach",Unknown,Vein systems (hypothermal/mesothermal/epithermal),supervised > tree-based > random forest; supervised > tree-based > decision tree (CART),"Multisource data fusion for enhanced gold mineral prospectivity mapping in Yagba West, Kogi State: a machine learning approach","Momohjimoh Abdulsalami, Jacob Funsho Omonile, Abubakar Fahad, Abdullateef Aliyu, Muhammad Kabir Yahaya",Unknown,Unknown,Unknown,Unknown,https://flayoophl.com/journals/index.php/pnspsc,proceedings of the nigerian society of physical sciences | momohjimoh abdulsalami jacob funsho omonile abubakar fahad abdullateef aliyu muhammad kabir yahaya | multisource data fusion for enhanced gold mineral prospectivity mapping in yagba west kogi state a machine learning approach
2020,April,Natural Resources Research,Unknown,Effects of Random Negative Training Samples on Mineral Prospectivity Mapping,Unknown,"Skarn (Fe, Cu, W, Zn-Pb, Sn, Au-As-Cu)",supervised > tree-based > random forest; supervised > tree-based > decision tree (CART); supervised > generalized linear models > logistic regression,Effects of Random Negative Training Samples on Mineral Prospectivity Mapping,"Renguang Zuo, Ziye Wang",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11053-020-09668-6,natural resources research | renguang zuo ziye wang | effects of random negative training samples on mineral prospectivity mapping
2024,April,Fractal Fract.,Unknown,Fractal-Based Multi-Criteria Feature Selection to Enhance Predictive Capability of AI-Driven Mineral Prospectivity Mapping,Unknown,Unknown,supervised > tree-based > random forest; supervised > tree-based > decision tree (CART); supervised > tree-based > gradient boosting (GBDT); supervised > generalized linear models > logistic regression,Fractal-Based Multi-Criteria Feature Selection to Enhance Predictive Capability of AI-Driven Mineral Prospectivity Mapping,"Tao Sun, Mei Feng, Wenbin Pu, Yue Liu, Fei Chen, Hongwei Zhang, Junqi Huang, Luting Mao, Zhiqiang Wang",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.3390/fractalfract8040224,fractal fract | tao sun mei feng wenbin pu yue liu fei chen hongwei zhang junqi huang luting mao zhiqiang wang | fractal-based multi-criteria feature selection to enhance predictive capability of ai-driven mineral prospectivity mapping
2021,November,ISPRS International Journal of Geo-Information,Unknown,Mapping Mineral Prospectivity Using a Hybrid Genetic Algorithm–Support Vector Machine (GA–SVM) Model,Unknown,Orogenic (lode) gold,supervised > kernel-based > support vector machine; optimization/heuristic > metaheuristics > genetic algorithm (feature selection/weighting),Mapping Mineral Prospectivity Using a Hybrid Genetic Algorithm–Support Vector Machine (GA–SVM) Model,"Xishihui Du, Kefa Zhou, Yao Cui, Jinlin Wang, Shuguang Zhou",Available on request,"Geological maps; 1:200,000; Stream sediment geochemical data; 1 per 4 km²",Different,Region A to Region B,https://doi.org/10.3390/ijgi10110766,isprs international journal of geo-information | xishihui du kefa zhou yao cui jinlin wang shuguang zhou | mapping mineral prospectivity using a hybrid genetic algorithmsupport vector machine gasvm model
2024,July,Earth Sciences,Unknown,A Review of Integration Techniques of Multi-Geoscience Data-Sets in Mineral Prospectivity Mapping,Unknown,Unknown,knowledge-driven > fuzzy > fuzzy logic; knowledge-driven > multicriteria decision analysis > multiclass index overlay,A Review of Integration Techniques of Multi-Geoscience Data-Sets in Mineral Prospectivity Mapping,Neelesh Katiyar; Asita Kulshreshtha; Pramod Kumar Singh,Unknown,Unknown,Unknown,Unknown,https://doi.org/10.11648/j.earth.20241304.12,earth sciences | neelesh katiyar asita kulshreshtha pramod kumar singh | a review of integration techniques of multi-geoscience data-sets in mineral prospectivity mapping
2021,June,Minerals,Unknown,"Study of the Influence of Non-Deposit Locations in Data-Driven Mineral Prospectivity Mapping: A Case Study on the Iskut Project in Northwestern British Columbia, Canada",Unknown,Epithermal Au-Ag (HS/LS/IS),supervised > tree-based > random forest,"Study of the Influence of Non-Deposit Locations in Data-Driven Mineral Prospectivity Mapping: A Case Study on the Iskut Project in Northwestern British Columbia, Canada",Alix Lachaud; Adam Marcus; Slobodan Vuˇceti´c; Ilija Miškovi´c,Unknown,Unknown,Unknown,Unknown,https://doi.org/10.3390/min11060597,minerals | alix lachaud adam marcus slobodan vuˇcetic ilija miškovic | study of the influence of non-deposit locations in data-driven mineral prospectivity mapping a case study on the iskut project in northwestern british columbia canada
2022,October,Minerals,Unknown,"Applying Data-Driven-Based Logistic Function and Prediction-Area Plot to Map Mineral Prospectivity in the Qinling Orogenic Belt, Central China",Unknown,Orogenic (lode) gold,supervised > tree-based > logistic regression; supervised > tree-based > random forest,"Applying Data-Driven-Based Logistic Function and Prediction-Area Plot to Map Mineral Prospectivity in the Qinling Orogenic Belt, Central China","Hongyang Bai, Yuan Cao, Heng Zhang, Wenfeng Wang, Chaojun Jiang, Yongguo Yang",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.3390/min12101287,minerals | hongyang bai yuan cao heng zhang wenfeng wang chaojun jiang yongguo yang | applying data-driven-based logistic function and prediction-area plot to map mineral prospectivity in the qinling orogenic belt central china
2022,October,Minerals,Unknown,"3D Mineral Prospectivity Mapping of Zaozigou Gold Deposit, West Qinling, China: Deep Learning-Based Mineral Prediction",Unknown,Epithermal Au-Ag (HS/LS/IS),supervised > deep learning > STOAD; supervised > deep learning > DAE,"3D Mineral Prospectivity Mapping of Zaozigou Gold Deposit, West Qinling, China: Deep Learning-Based Mineral Prediction","Zhengbo Yu, Bingli Liu, Miao Xie, Yixiao Wu, Yunhui Kong, Cheng Li, Guodong Chen, Yaxin Gao, Shuai Zha, Hanyuan Zhang, Lu Wang, Rui Tang",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.3390/min12111382,minerals | zhengbo yu bingli liu miao xie yixiao wu yunhui kong cheng li guodong chen yaxin gao shuai zha hanyuan zhang lu wang rui tang | 3d mineral prospectivity mapping of zaozigou gold deposit west qinling china deep learning-based mineral prediction
2023,July,Minerals,Unknown,"Apriori Algorithm-Based Three-Dimensional Mineral Prospectivity Mapping—An Example from Meiling South Area, Xinjiang, China",Unknown,VMS (Volcanogenic Massive Sulfide),supervised > tree-based > random forest; supervised > kernel-based > support vector machine,"Apriori Algorithm-Based Three-Dimensional Mineral Prospectivity Mapping—An Example from Meiling South Area, Xinjiang, China","Jinyu Chang, Nannan Zhang, Kefa Zhou, Jintao Tao, Li Chen, Hao Zhang, Yujin Chi",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.3390/min13070902,minerals | jinyu chang nannan zhang kefa zhou jintao tao li chen hao zhang yujin chi | apriori algorithm-based three-dimensional mineral prospectivity mappingan example from meiling south area xinjiang china
2023,September,Minerals,Unknown,"Mineral Prospectivity Mapping for Orogenic Gold Mineralization in the Rainy River Area, Wabigoon Subprovince",Unknown,Orogenic (lode) gold,supervised > tree-based > random forest,"Mineral Prospectivity Mapping for Orogenic Gold Mineralization in the Rainy River Area, Wabigoon Subprovince","Pouran Behnia, Jeff Harris, Ross Sherlock, Mostafa Naghizadeh, Rajesh Vayavur",Available on request from the corresponding author,Geological data; Unknown; Geophysical data; Unknown; Lithogeochemical data; Unknown; Geochronological data; Unknown,Different,Training from 83 occurrences; application to 33 occurrences,https://doi.org/10.3390/min13101267,minerals | pouran behnia jeff harris ross sherlock mostafa naghizadeh rajesh vayavur | mineral prospectivity mapping for orogenic gold mineralization in the rainy river area wabigoon subprovince
2023,October,Minerals,Unknown,3D Mineral Prospectivity Mapping from 3D Geological Models Using Return–Risk Analysis and Machine Learning on Imbalance Data,Unknown,Orogenic (lode) gold,supervised > tree-based > random forest; knowledge-driven > probabilistic > weights of evidence (WofE),3D Mineral Prospectivity Mapping from 3D Geological Models Using Return–Risk Analysis and Machine Learning on Imbalance Data,"Qingming Peng, Zhongzheng Wang, Gongwen Wang, Wengao Zhang, Zhengle Chen, Xiaoning Liu",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.3390/min13111384,minerals | qingming peng zhongzheng wang gongwen wang wengao zhang zhengle chen xiaoning liu | 3d mineral prospectivity mapping from 3d geological models using returnrisk analysis and machine learning on imbalance data
2024,October,Minerals,Unknown,A Review of Mineral Prospectivity Mapping Using Deep Learning,Unknown,Unknown,supervised > deep learning > convolutional neural network (CNN); supervised > deep learning > generative adversarial network (GAN); supervised > deep learning > recurrent neural network (RNN); supervised > deep learning > autoencoder,A Review of Mineral Prospectivity Mapping Using Deep Learning,"Kang Sun, Yansi Chen, Guoshuai Geng, Zongyue Lu, Wei Zhang, Zhihong Song, Jiyun Guan, Yang Zhao, Zhaonian Zhang",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.3390/min14101021,minerals | kang sun yansi chen guoshuai geng zongyue lu wei zhang zhihong song jiyun guan yang zhao zhaonian zhang | a review of mineral prospectivity mapping using deep learning
2025,February,Minerals,Unknown,Mineral Prospectivity Mapping in Xiahe-Hezuo Area Based on Wasserstein Generative Adversarial Network with Gradient Penalty,Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > deep learning > convolutional neural network (CNN); knowledge-driven > probabilistic > weights of evidence (WofE),Mineral Prospectivity Mapping in Xiahe-Hezuo Area Based on Wasserstein Generative Adversarial Network with Gradient Penalty,"Jiansheng Gong, Yunhe Li, Miao Xie, Yunhui Kong, Rui Tang, Cheng Li, Yixiao Wu, Zehua Wu",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.3390/min15020184,minerals | jiansheng gong yunhe li miao xie yunhui kong rui tang cheng li yixiao wu zehua wu | mineral prospectivity mapping in xiahe-hezuo area based on wasserstein generative adversarial network with gradient penalty
2025,3,Minerals,Unknown,Applying Mineral System Criteria to Develop a Predictive Modelling for Epithermal Gold Mineralization in Northern New Brunswick: Using Knowledge-Driven and Data-Driven Methods,Unknown,Epithermal Au-Ag (HS/LS/IS),supervised > tree-based > logistic regression; supervised > tree-based > fuzzy logic; supervised > tree-based > geometric average,Applying Mineral System Criteria to Develop a Predictive Modelling for Epithermal Gold Mineralization in Northern New Brunswick: Using Knowledge-Driven and Data-Driven Methods,"Farzaneh Mami Khalifani, David R. Lentz, James A. Walker, Fereshteh Khammar",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.3390/min15040345,minerals | farzaneh mami khalifani david r lentz james a walker fereshteh khammar | applying mineral system criteria to develop a predictive modelling for epithermal gold mineralization in northern new brunswick using knowledge-driven and data-driven methods
2025,April,Minerals,Unknown,"Machine Learning Classification of Fertile and Barren Adakites for Refining Mineral Prospectivity Mapping: Geochemical Insights from the Northern Appalachians, New Brunswick, Canada",Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > tree-based > random forest; supervised > tree-based > gradient boosting (GBDT); supervised > kernel-based > support vector machine; supervised > neural networks > feedforward neural network (MLP); supervised > tree-based > decision tree (CART); ensemble > boosting > boosting (GBDT/XGBoost/LightGBM); supervised > generalized linear models > logistic regression,"Machine Learning Classification of Fertile and Barren Adakites for Refining Mineral Prospectivity Mapping: Geochemical Insights from the Northern Appalachians, New Brunswick, Canada",Amirabbas Karbalaeiramezanali; Fazilat Yousefi; David R. Lentz; Kathleen G. Thorne,Unknown,Unknown,Unknown,Unknown,https://doi.org/10.3390/min15040372,minerals | amirabbas karbalaeiramezanali fazilat yousefi david r lentz kathleen g thorne | machine learning classification of fertile and barren adakites for refining mineral prospectivity mapping geochemical insights from the northern appalachians new brunswick canada
2025,7,Minerals,Unknown,Transformer–GCN Fusion Framework for Mineral Prospectivity Mapping: A Geospatial Deep Learning Approach,Unknown,VMS (Volcanogenic Massive Sulfide),supervised > deep learning > transformer; supervised > deep learning > graph neural network (GNN),Transformer–GCN Fusion Framework for Mineral Prospectivity Mapping: A Geospatial Deep Learning Approach,"Le Gao, Gnanachandrasamy Gopalakrishnan, Adel Nasri, Youhong Li, Yuying Zhang, Xiaoying Ou, Kele Xia",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.3390/min15070711,minerals | le gao gnanachandrasamy gopalakrishnan adel nasri youhong li yuying zhang xiaoying ou kele xia | transformergcn fusion framework for mineral prospectivity mapping a geospatial deep learning approach
2025,July,Minerals,Unknown,"Three-Dimensional Mineralization Prediction Using the Information Value Method: A Case Study of the Bainiuchang Ag Polymetallic Deposit, Southwest China",Unknown,Vein systems (hypothermal/mesothermal/epithermal),supervised > probabilistic > weights of evidence (WofE); supervised > tree-based > gradient boosting (GBDT),"Three-Dimensional Mineralization Prediction Using the Information Value Method: A Case Study of the Bainiuchang Ag Polymetallic Deposit, Southwest China","Fuju Jia, Guolong Zheng, Guangzhi Meng, Long Jian, He Chang, Ping Pan, Jianguo Gao, Zhixiao Wu, Ceting Yang",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.3390/min15080783,minerals | fuju jia guolong zheng guangzhi meng long jian he chang ping pan jianguo gao zhixiao wu ceting yang | three-dimensional mineralization prediction using the information value method a case study of the bainiuchang ag polymetallic deposit southwest china
2025,June,Remote Sens.,Unknown,Alteration Information Extraction and Mineral Prospectivity Mapping in the Laozhaiwan Area Using Multisource Remote Sensing Data,Unknown,Carlin-type gold,supervised > tree-based > random forest; supervised > tree-based > gradient boosting (GBDT); supervised > kernel-based > support vector machine; knowledge-driven > probabilistic > weights of evidence (WofE); knowledge-driven > multicriteria decision analysis > AHP,Alteration Information Extraction and Mineral Prospectivity Mapping in the Laozhaiwan Area Using Multisource Remote Sensing Data,"Qi Chen, Dayu Cai, Zhifang Zhao, Xiaoguang Yang, Yilong Wang, Xiao Jiang, Lei Xu, Haichuan Duan, Yang He, Xiaoxiao Zhang, Yiyang Wang, Ting Xu",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.3390/rs17132178,remote sens | qi chen dayu cai zhifang zhao xiaoguang yang yilong wang xiao jiang lei xu haichuan duan yang he xiaoxiao zhang yiyang wang ting xu | alteration information extraction and mineral prospectivity mapping in the laozhaiwan area using multisource remote sensing data
2023,April,Mathematical Geosciences,Unknown,Deep Reinforcement Learning for Mineral Prospectivity Mapping,Unknown,Orogenic (lode) gold,supervised > deep learning > reinforcement learning,Deep Reinforcement Learning for Mineral Prospectivity Mapping,"Zixian Shi, Renguang Zuo, Bao Zhou",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11004-023-10059-9,mathematical geosciences | zixian shi renguang zuo bao zhou | deep reinforcement learning for mineral prospectivity mapping
2024,June,Mathematical Geosciences,Unknown,An Interpretable Graph Attention Network for Mineral Prospectivity Mapping,Unknown,"Skarn (Fe, Cu, W, Zn-Pb, Sn, Au-As-Cu)",supervised > deep learning > graph attention network,An Interpretable Graph Attention Network for Mineral Prospectivity Mapping,"Ying Xu, Renguang Zuo",True,"Geological map; scale 1:200,000; Geochemical survey data; concentrations of 39 elements; Distance maps; km",Different,Training area to Testing area,https://doi.org/10.1007/s11004-023-10076-8,mathematical geosciences | ying xu renguang zuo | an interpretable graph attention network for mineral prospectivity mapping
2024,April,Mathematical Geosciences,Unknown,Geologically Constrained Convolutional Neural Network for Mineral Prospectivity Mapping,Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > deep learning > convolutional neural network (CNN),Geologically Constrained Convolutional Neural Network for Mineral Prospectivity Mapping,"Fanfan Yang, Renguang Zuo",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11004-024-10141-w,mathematical geosciences | fanfan yang renguang zuo | geologically constrained convolutional neural network for mineral prospectivity mapping
2025,November,Mathematical Geosciences,Unknown,Domain Adversarial Neural Network for Mapping Mineral Prospectivity,Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > deep learning > domain adversarial neural network,Domain Adversarial Neural Network for Mapping Mineral Prospectivity,"Qiuyi Lin, Renguang Zuo",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11004-024-10164-3,mathematical geosciences | qiuyi lin renguang zuo | domain adversarial neural network for mapping mineral prospectivity
2025,January,Mathematical Geosciences,Unknown,Mineral Prospectivity Mapping Based on a Novel Self-Ensembling Graph Convolutional Network,Unknown,Unknown,supervised > deep learning > graph neural network (GNN); supervised > deep learning > CNN; supervised > tree-based > random forest; supervised > kernel-based > support vector machine,Mineral Prospectivity Mapping Based on a Novel Self-Ensembling Graph Convolutional Network,"Yonghang Lou, Yue Liu",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11004-024-10170-5,mathematical geosciences | yonghang lou yue liu | mineral prospectivity mapping based on a novel self-ensembling graph convolutional network
2020,September,Natural Resources Research,Unknown,Random-Drop Data Augmentation of Deep Convolutional Neural Network for Mineral Prospectivity Mapping,Unknown,"Skarn (Fe, Cu, W, Zn-Pb, Sn, Au-As-Cu)",supervised > deep learning > convolutional neural network (CNN),Random-Drop Data Augmentation of Deep Convolutional Neural Network for Mineral Prospectivity Mapping,"Tong Li, Renguang Zuo, Yihui Xiong, Yong Peng",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11053-020-09742-z,natural resources research | tong li renguang zuo yihui xiong yong peng | random-drop data augmentation of deep convolutional neural network for mineral prospectivity mapping
2021,March,Natural Resources Research,Unknown,Regional-Scale Mineral Prospectivity Mapping: Support Vector Machines and an Improved Data-Driven Multi-criteria Decision-Making Technique,Unknown,Vein systems (hypothermal/mesothermal/epithermal),supervised > kernel-based > support vector machine; supervised > tree-based > random forest,Regional-Scale Mineral Prospectivity Mapping: Support Vector Machines and an Improved Data-Driven Multi-criteria Decision-Making Technique,"Reza Ghezelbash, Abbas Maghsoudi, Amirreza Bigdeli, Emmanuel John M. Carranza",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11053-021-09842-4,natural resources research | reza ghezelbash abbas maghsoudi amirreza bigdeli emmanuel john m carranza | regional-scale mineral prospectivity mapping support vector machines and an improved data-driven multi-criteria decision-making technique
2021,July,Natural Resources Research,Unknown,A Hybrid Logistic Regression: Gene Expression Programming Model and Its Application to Mineral Prospectivity Mapping,Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > generalized linear models > logistic regression; supervised > tree-based > random forest,A Hybrid Logistic Regression: Gene Expression Programming Model and Its Application to Mineral Prospectivity Mapping,"Fan Xiao, Weilin Chen, Jun Wang, Oktay Erten",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11053-021-09918-1,natural resources research | fan xiao weilin chen jun wang oktay erten | a hybrid logistic regression gene expression programming model and its application to mineral prospectivity mapping
2022,January,Natural Resources Research,Unknown,Determination of Predictive Variables in Mineral Prospectivity Mapping Using Supervised and Unsupervised Methods,Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > tree-based > random forest; knowledge-driven > probabilistic > weights of evidence (WofE),Determination of Predictive Variables in Mineral Prospectivity Mapping Using Supervised and Unsupervised Methods,"Chengbin Wang, Jianguo Chen, Yongpeng Ouyang",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11053-021-09982-7,natural resources research | chengbin wang jianguo chen yongpeng ouyang | determination of predictive variables in mineral prospectivity mapping using supervised and unsupervised methods
2021,November,Natural Resources Research,Unknown,Deep GMDH Neural Networks for Predictive Mapping of Mineral Prospectivity in Terrains Hosting Few but Large Mineral Deposits,Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > neural networks > feedforward neural network (MLP); knowledge-driven > probabilistic > weights of evidence (WofE),Deep GMDH Neural Networks for Predictive Mapping of Mineral Prospectivity in Terrains Hosting Few but Large Mineral Deposits,"Mohammad Parsa, Emmanuel John M. Carranza, Bahman Ahmadi",True,Geochemical data; Unknown; Geological maps; Unknown; Remote sensing data; Unknown,Different,Region A to Region B,https://doi.org/10.1007/s11053-021-09984-5,natural resources research | mohammad parsa emmanuel john m carranza bahman ahmadi | deep gmdh neural networks for predictive mapping of mineral prospectivity in terrains hosting few but large mineral deposits
2022,April,Natural Resources Research,Unknown,"Three-Dimensional Mineral Prospectivity Mapping by XGBoost Modeling: A Case Study of the Lannigou Gold Deposit, China",Unknown,Epithermal Au-Ag (HS/LS/IS),supervised > tree-based > gradient boosting (XGBoost),"Three-Dimensional Mineral Prospectivity Mapping by XGBoost Modeling: A Case Study of the Lannigou Gold Deposit, China","Quanping Zhang, Jianping Chen, Hua Xu, Yule Jia, Xuewei Chen, Zhen Jia, Hao Liu",Unknown,Geological data; Unknown; 3D geological model; Unknown; Borehole data; m; Geological sections; m,Same,Unknown,https://doi.org/10.1007/s11053-022-10054-7,natural resources research | quanping zhang jianping chen hua xu yule jia xuewei chen zhen jia hao liu | three-dimensional mineral prospectivity mapping by xgboost modeling a case study of the lannigou gold deposit china
2022,October,Natural Resources Research,Unknown,Unlabeled Sample Selection for Mineral Prospectivity Mapping by Semi-supervised Support Vector Machine,Unknown,VMS (Volcanogenic Massive Sulfide),supervised > kernel-based > support vector machine; supervised > kernel-based > SVM (RBF),Unlabeled Sample Selection for Mineral Prospectivity Mapping by Semi-supervised Support Vector Machine,"Jintao Tao, Nannan Zhang, Jinyu Chang, Li Chen, Hao Zhang, Yujin Chi",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11053-022-10093-0,natural resources research | jintao tao nannan zhang jinyu chang li chen hao zhang yujin chi | unlabeled sample selection for mineral prospectivity mapping by semi-supervised support vector machine
2022,September,Natural Resources Research,Unknown,An Integrated Framework for Data-Driven Mineral Prospectivity Mapping Using Bagging-Based Positive-Unlabeled Learning and Bayesian Cost-Sensitive Logistic Regression,Unknown,Orogenic (lode) gold,supervised > tree-based > bagging; supervised > generalized linear models > logistic regression; semi-supervised > PU learning > positive–unlabeled learning,An Integrated Framework for Data-Driven Mineral Prospectivity Mapping Using Bagging-Based Positive-Unlabeled Learning and Bayesian Cost-Sensitive Logistic Regression,Zhiqiang Zhang; Gongwen Wang; Emmanuel John M. Carranza; Junjie Fan; Xinxing Liu; Xiang Zhang; Yulong Dong; XiaoPeng Chang; Deming Sha,Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11053-022-10120-0,natural resources research | zhiqiang zhang gongwen wang emmanuel john m carranza junjie fan xinxing liu xiang zhang yulong dong xiaopeng chang deming sha | an integrated framework for data-driven mineral prospectivity mapping using bagging-based positive-unlabeled learning and bayesian cost-sensitive logistic regression
2023,February,Natural Resources Research,Unknown,Mineral Prospectivity Mapping Using Deep Self-Attention Model,Unknown,Orogenic (lode) gold,supervised > deep learning > self-attention mechanism,Mineral Prospectivity Mapping Using Deep Self-Attention Model,"Bojun Yin, Renguang Zuo, Siquan Sun",Unknown,Geological data; km; Geochemical data; various elements; Rasterized data; km,Different,Region A to Region B,https://doi.org/10.1007/s11053-022-10142-8,natural resources research | bojun yin renguang zuo siquan sun | mineral prospectivity mapping using deep self-attention model
2022,December,Natural Resources Research,Unknown,Quantification of Uncertainty Associated with Evidence Layers in Mineral Prospectivity Mapping Using Direct Sampling and Convolutional Neural Network,Unknown,Orogenic (lode) gold,supervised > deep learning > convolutional neural network (CNN); knowledge-driven > probabilistic > weights of evidence (WofE),Quantification of Uncertainty Associated with Evidence Layers in Mineral Prospectivity Mapping Using Direct Sampling and Convolutional Neural Network,"Fanfan Yang, Ziye Wang, Renguang Zuo, Siquan Sun, Bao Zhou",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1007/s11053-022-10144-6,natural resources research | fanfan yang ziye wang renguang zuo siquan sun bao zhou | quantification of uncertainty associated with evidence layers in mineral prospectivity mapping using direct sampling and convolutional neural network
